feature,family,test_r2_latent,test_r2_size_only,test_r_latent,test_r_size_only,test_mae_latent,test_mae_size_only
spatial_entropy_max,distribution_complexity,0.5626448332332166,0.21846396061855677,0.7568357749393441,0.4987606364495781,0.027362515467019122,0.0360673923644094
raw_max_max,amplitude_response,0.5339613259655238,0.47601817243611,0.7399975805929353,0.6965115760870174,19.10897836017507,20.47852666112141
window_norm_global_std,shape_contrast,0.523554032610482,0.5958218333622409,0.7286876859348433,0.7811345267083278,0.029033922369120856,0.02529421200373319
center_border_contrast_max,shape_contrast,0.4736687172511216,0.5967149210600595,0.6887839241690427,0.7852757174542643,15.920669200283847,13.356331300536574
window_rise_time_to_peak,temporal_phase,0.37129294459269147,0.01232744058620705,0.6306066214207057,0.14883369739824456,0.23205979633293303,0.28609833485258834
second_moment_spread_max,spread_extent,0.3618490353482635,0.545552512161746,0.6090222228492869,0.7519056825894431,1.5943574690903426,1.4145838427988453
meanframe_raw_hotspot_radius,spread_extent,0.35357153572838207,0.5276576871439025,0.6083910784155327,0.7397714315954068,0.26925496418694383,0.2441621341567349
hotspot_radius_max,spread_extent,0.34251124549603384,0.5335897354384872,0.5947879936998675,0.7449246724615728,0.2660094349604792,0.2358492550620762
hotspot_radius_min,spread_extent,0.31732287197299747,0.5189417637012611,0.5935050605060647,0.734080259555779,0.28785751099551143,0.257844430669808
window_peak_persistence_ratio,temporal_phase,0.2205593688319777,-0.005065456880827934,0.4757614251369193,0.20980485277832328,0.22294701722514232,0.26122899582540876
centroid_row_min,deformation_position,0.21605465035966132,0.00858221611688681,0.4742656246267493,0.20305764306389432,0.6294941441026577,0.708523766365827
window_window_raw_sum_gain,temporal_phase,0.20678083505568556,0.056278365112695794,0.4708446321101425,0.27083768308155076,0.09626802845560768,0.10995598253989032
maxframe_raw_centroid_col,deformation_position,0.20198161948826854,-0.2604979487846151,0.5170120745049687,0.1547137376288874,0.3268274523081917,0.40515138144565477
maxframe_raw_centroid_row,deformation_position,0.1916780161467182,0.03827112825462886,0.4537884731077244,0.2557518050830436,0.6395667814166341,0.7077481305168065
window_decay_after_peak,temporal_phase,0.1483085428547789,-0.01807807583737797,0.45885977827276314,0.029602713698063457,0.08030446984642868,0.07367902249579789
anisotropy_ratio_min,shape_contrast,0.1139235396063395,0.3653436358877131,0.35203833484376323,0.6337464399215634,0.15243685999037856,0.1308578317176648
anisotropy_ratio_last,shape_contrast,0.06614364549498009,0.12335077646677783,0.2647647634181494,0.36697973508661536,0.164352990476293,0.14982386728072564
deltaframe_centroid_row,deformation_position,0.02950003829588488,0.0030077695077549427,0.2846502496422629,0.22263180169240362,0.776350347493821,0.8141004889526463
peak_count_min,shape_contrast,-0.08187442937071632,0.13945320053322752,0.1594602068287989,0.38992865801961507,0.31298157060115267,0.24288603356284155
